Date,winner,loser,,
2005-02-24,Stony Brook,Albany (NY),,
2005-02-24,Vermont,Maryland-Baltimore County,,
2005-02-27,Binghamton,Boston University,,
2005-02-27,Maine,Vermont,,
2005-02-27,Maryland-Baltimore County,Hartford,,
2005-02-27,New Hampshire,Stony Brook,,
2005-02-27,Northeastern,Albany (NY),,
2005-03-04,Stony Brook,Hartford,,
2005-03-04,Maryland-Baltimore County,New Hampshire,,
2005-03-05,Binghamton,Albany (NY),,
2005-03-05,Maine,Boston University,,
2005-03-05,Vermont,Maryland-Baltimore County,,
2005-03-05,Northeastern,Stony Brook,,
2005-03-06,Vermont,Binghamton,,
2005-03-06,Northeastern,Maine,,
2005-03-12,Vermont,Northeastern,,
2005-12-03,Hartford,Maine,,
2005-12-08,Boston University,New Hampshire,,
2005-12-10,Boston University,Maine,,
2005-12-10,Maryland-Baltimore County,Stony Brook,,
2005-12-10,Vermont,New Hampshire,,
2005-12-20,Albany (NY),Binghamton,,
2005-12-23,Albany (NY),Stony Brook,,
2006-01-04,Albany (NY),Hartford,,
2006-01-05,Maryland-Baltimore County,Boston University,,
2006-01-05,Binghamton,New Hampshire,,
2006-01-05,Stony Brook,Vermont,,
2006-01-07,Albany (NY),Maine,,
2006-01-08,Binghamton,Stony Brook,,
2006-01-08,New Hampshire,Hartford,,
2006-01-08,Vermont,Maryland-Baltimore County,,
2006-01-11,New Hampshire,Maryland-Baltimore County,,
2006-01-12,Albany (NY),Boston University,,
2006-01-12,Vermont,Hartford,,
2006-01-12,Binghamton,Maine,,
2006-01-14,New Hampshire,Stony Brook,,
2006-01-15,Binghamton,Boston University,,
2006-01-15,Maine,Vermont,,
2006-01-15,Hartford,Maryland-Baltimore County,,
2006-01-18,Vermont,Albany (NY),,
2006-01-19,Binghamton,Hartford,,
2006-01-19,Maine,New Hampshire,,
2006-01-19,Boston University,Stony Brook,,
2006-01-22,New Hampshire,Albany (NY),,
2006-01-22,Boston University,Vermont,,
2006-01-22,Hartford,Stony Brook,,
2006-01-22,Maryland-Baltimore County,Maine,,
2006-01-25,Albany (NY),Maryland-Baltimore County,,
2006-01-25,Binghamton,Vermont,,
2006-01-25,Boston University,Hartford,,
2006-01-25,Maine,Stony Brook,,
2006-01-28,Albany (NY),Binghamton,,
2006-01-28,Vermont,New Hampshire,,
2006-01-28,Stony Brook,Maryland-Baltimore County,,
2006-01-29,Maine,Boston University,,
2006-02-01,Albany (NY),Stony Brook,,
2006-02-01,New Hampshire,Boston University,,
2006-02-02,Hartford,Maine,,
2006-02-02,Maryland-Baltimore County,Binghamton,,
2006-02-04,Albany (NY),Boston University,,
2006-02-04,Hartford,Vermont,,
2006-02-05,Binghamton,Maine,,
2006-02-05,New Hampshire,Maryland-Baltimore County,,
2006-02-08,Binghamton,New Hampshire,,
2006-02-08,Boston University,Maryland-Baltimore County,,
2006-02-08,Albany (NY),Hartford,,
2006-02-08,Vermont,Stony Brook,,
2006-02-11,Hartford,New Hampshire,,
2006-02-11,Albany (NY),Maine,,
2006-02-11,Maryland-Baltimore County,Vermont,,
2006-02-11,Binghamton,Stony Brook,,
2006-02-14,Binghamton,Boston University,,
2006-02-15,Hartford,Maryland-Baltimore County,,
2006-02-15,New Hampshire,Stony Brook,,
2006-02-15,Vermont,Maine,,
2006-02-18,Hartford,Binghamton,,
2006-02-19,Boston University,Stony Brook,,
2006-02-19,Maine,New Hampshire,,
2006-02-20,Albany (NY),Vermont,,
2006-02-20,Binghamton,Maryland-Baltimore County,,
2006-02-23,Maine,Maryland-Baltimore County,,
2006-02-23,New Hampshire,Albany (NY),,
2006-02-23,Hartford,Stony Brook,,
2006-02-23,Boston University,Vermont,,
2006-02-26,Boston University,Hartford,,
2006-02-26,Albany (NY),Maryland-Baltimore County,,
2006-02-26,Maine,Stony Brook,,
2006-02-26,Binghamton,Vermont,,
2006-03-03,Maryland-Baltimore County,Stony Brook,,
2006-03-04,Binghamton,Maine,,
2006-03-04,Vermont,Boston University,,
2006-03-04,New Hampshire,Hartford,,
